iso3,label,sublabel,latitude,longitude
CAN,THUNDER BAY,,48.4,-89.233333
TGO,LOME,,6.133333,1.283333
IDN,UJUNG PANDANG,,-5.133333,119.4
CAN,COBOURG,,43.95,-78.166667
CAN,PORT HOPE,,43.933333000000005,-78.283333
CAN,OSHAWA,,43.866667,-78.81666700000001
CAN,PORT WHITBY,,43.85,-78.93333299999999
CAN,PORT CREDIT,,43.55,-79.583333
CAN,OAKVILLE,,43.433333000000005,-79.666667
CAN,BRONTE,,43.4,-79.716667
CAN,PORT DALHOUSIE,,43.216667,-79.266667
EST,MUUGA-PORT OF TALLIN,,59.5,24.95
EST,TALLINN,,59.45,24.766667
EST,PALDISKI,,59.35,24.033333
NLD,SCHEVENINGEN,,52.1,4.266667
ISR,ASHDOD,,31.816667,34.65
ISR,HAIFA,,32.816666999999995,35.0
JPN,NAHA KO,,26.216666999999998,127.683333
,MIDWAY ISLAND,,28.183333,-177.366667
CAN,STEPHENVILLE,,48.533333,-58.533333
BEL,ZEEBRUGGE,,51.333333,3.2
CUW,WILLEMSTAD,,12.116667,-68.93333299999999
MOZ,PEMBA,,-12.966667,40.5
YEM,AL AHMADI,,14.833332999999998,42.966667
YEM,SALIF,,15.3,42.666667
SOM,MUQDISHO,,2.0333330000000003,45.35
SOM,KISMAAYO,,-0.366667,42.55
GIN,CONAKRY,,9.516667,-13.716667000000001
GBR,HEYSHAM,,54.033333,-2.916667
ROU,MANGALIA,,43.816666999999995,28.583333000000003
ROU,CONSTANTA,,44.166667,28.65
BEN,COTONOU,,6.35,2.433333
GBR,ROTHESAY HARBOR,,55.833332999999996,-5.05
GBR,ARDROSSAN,,55.65,-4.816667
GBR,TROON,,55.55,-4.683333
PRK,HUNGNAM,,39.833333,127.61666699999999
PRK,CH'AHO,,40.2,128.65
TWN,CHI-LUNG,,25.133333,121.766667
TWN,SU-AO,,24.6,121.86666699999999
TWN,HUA-LIEN KANG,,23.983333,121.6
TWN,KAO-HSIUNG,,22.616667,120.25
TWN,MAILIAO,,23.783333,120.16666699999999
GRC,ORMOS ALIVERIOU,,38.383333,24.05
GRC,VOLOS,,39.366667,22.95
GRC,ALEXANDROUPOLI,,40.833333,25.883333
