,name,longitude,latitude
0,SHAKOTAN,146.833333,43.866667
1,MOMBETSU KO,143.35,44.35
2,CHARLOTTETOWN,-63.133333,46.233333
3,ABASHIRI KO,144.283333,44.016667
4,NEMURO KO,145.583333,43.333333
5,HANASAKI KO,145.583333,43.283333
6,KUSHIRO KO,144.366667,42.983333
7,TOMAKOMAI KO,141.633333,42.633333
8,MURORAN KO,140.966667,42.35
9,MORI,140.583333,42.116667
10,GOPALPUR,84.916667,19.25
11,EL GHARDAQA,33.85,27.216667
12,RAS SHUKHIER,33.283333,28.133333
13,RAS GHARIB,33.1,28.35
14,AS SUWAYS,32.55,29.966667
15,EL-ADABIYA,32.466667,29.866667
16,EL ISMAILIYA,32.283333,30.583333
17,RAS ABU ZANIMAH,33.116667,29.033333
18,WADI FEIRAN,33.2,28.75
19,ELAT,34.95,29.55
20,AL AQABAH,35.0,29.516667
21,YANBU,38.05,24.083333
22,JIDDAH,39.183333,21.483333
23,JIZAN,42.483333,16.9
24,SIMONSTOWN,18.433333,-34.183333
25,MOSSEL BAY,22.15,-34.183333
26,PORT ELIZABETH,25.616667,-33.966667
27,BELFAST,-5.9,54.616667
28,LARNE,-5.8,54.85
29,COLERAINE,-6.666667,55.133333
30,LONDONDERRY,-7.316667,55.0
31,ORNSAY,-5.8,57.15
32,BUCKIE HARBOR,-2.966667,57.683333
33,LOSSIEMOUTH,-3.283333,57.716667
34,BURGHEAD,-3.5,57.7
35,INVERNESS,-4.233333,57.483333
36,CROMARTY,-4.033333,57.683333
37,INVERGORDON,-4.166667,57.683333
38,PORTMAHOMACK HARBOR,-3.833333,57.833333
39,HELMSDALE HARBOR,-3.65,58.116667
40,WICK,-3.083333,58.433333
41,PIEROWALL,-2.983333,59.3
42,KETTLETOFT,-2.6,59.233333
43,WHITEHALL,-2.6,59.133333
44,KIRKWALL,-2.966667,58.983333
45,STROMNESS,-3.3,58.966667
46,SOUTH NESS,-3.2,58.8
47,ST MARGARETS HOPE,-2.95,58.833333
