id,id_port,ISO3166A3,ISO3166A2,LOCODE,NAME,DIACRISTIC,FUNCTION,PORT_NAME,AUTHORITIE,ADDRESS,WEBSITE,X,Y,cruise,cruiseID,test,col1,col2,col3,col4,col5,col6,col7,colB,natlScale,City,Location,yes_anchor,matchme,trackback,latitude,longitude,Note,Country,Terminal,matched,anchor_id,name_anchr,scaleRank
"1","1",ABW,AW,BAR,Barcadera,Barcadera,1-------,Port of Barcadera,Aruba Ports Authority N.V.,Port Administration Building - L.G. Smith Blvd. # 23 - Oranjestad - Aruba,www.arubaports.com,-69.99234393000,12.47972222000,"0","0","-1","1","0","0","0","0","0","0","0",0.500,Barcadera,city,"-1",barcadera,"0",12.479722,-69.992344,,,,"0","-1",,"11"
"2","2",ABW,AW,ORJ,Oranjestad,Oranjestad,1---5---,Port of Oranjestad,Aruba Ports Authority N.V.,Port Administration Building - L.G. Smith Blvd. # 23 - Oranjestad - Aruba,www.arubaports.com,-70.03881037000,12.52000000000,"1","9","-1","1","0","0","0","1","0","0","0",75.000,Oranjestad,city,"-1",oranjestad,"1",12.520000,-70.038810,,,,"0","-1",,"3"
"3","3",ABW,AW,SNL,Sint Nicolaas,Sint Nicolaas,1-------,Port of San Nicolas,Coastal Aruba Refining Co NV,Postbus 2150 - San Nicolas - Aruba,www.rocargo.com/SanNicolas.html,-69.92355713000,12.43750000000,"0","0","-1","1","0","0","0","0","0","0","0",5.000,Sint Nicolaas,city,"1",sint nicolaas,"2",12.430000,-69.910000,,,,"0","322",Sint Nicolaas Baai,"8"
"4","4",AGO,AO,FLT,Futila Terminal,Futila Terminal,1-------,Futila Terminal,"0",Futila - Angola,,12.17709069000,-5.45000000000,"0","0","-1","1","0","0","0","0","0","0","0",0.500,Futila Terminal,city,"-1",futila terminal,"3",-5.450000,12.177091,,,,"0","-1",,"11"
"5","5",AGO,AO,NTO,N'Zeto (Ambrizete),N'Zeto (Ambrizete),1-------,Kiabo Marine Terminal,"0",Angola,,12.57709069000,-7.33305555600,"0","0","-1","1","0","0","0","0","0","0","0",0.500,N'Zeto (Ambrizete),city,"-1",n'zeto (ambrizete),"4",-7.333056,12.577091,,,,"0","-1",,"11"
"6","10",AGO,AO,AZZ,Ambriz,Ambriz,1--4----,Port of Ambriz,Ambriz Port Authority,CP 30 - Marine Port Authority - Cabinda - Angola,,13.09375736000,-7.83305555600,"0","0","-1","1","0","0","1","0","0","0","0",10.000,Ambriz,city,"-1",ambriz,"5",-7.833056,13.093757,,,,"0","-1",,"7"
"7","11",AGO,AO,CAB,Cabinda,Cabinda,1--4----,Port of Cabinda,Autoridade Portuaria de Cabinda,CP 68 - Cabinda - Angola,,12.19022379000,-5.55000000000,"0","0","-1","1","0","0","1","0","0","0","0",10.000,Cabinda,city,"-1",cabinda,"6",-5.550000,12.190224,,,,"0","-1",,"7"
"8","12",AGO,AO,LOB,Lobito,Lobito,1---5---,Port of Lobito,"Empresa Portuaria Do Lobito , E.P.",Avenida da Independencia - CP 16 - Lobito - Angola,,13.56931684000,-12.33694444000,"0","0","-1","1","0","0","0","1","0","0","0",30.000,Lobito,city,"1",lobito,"7",-12.330000,13.560000,,,,"0","1099",Lobito,"5"
"9","14",AGO,AO,MSZ,Namibe,Namibe,1--4----,Port of Namibe,Empresa Portuaria do Namibe,CP 16 - Namibe - Angola,www.otal.com/angola,12.13545347000,-15.19361111000,"0","0","-1","1","0","0","1","0","0","0","0",20.000,Namibe,city,"1",namibe,"8",-15.200000,12.150000,,,,"0","1100",Namibe,"6"
"10","15",AGO,AO,PBN,Porto Amboim,Porto Amboim,1-------,Port of Porto Amboim,Porto Amboim Port Authority,Porto Amboim - Angola,,13.75318021000,-10.72805556000,"0","0","-1","1","0","0","0","0","0","0","0",0.500,Porto Amboim,city,"-1",porto amboim,"9",-10.728056,13.753180,,,,"0","-1",,"11"
"11","16",AGO,AO,SZA,Soyo,Soyo,1--4----,Port of Soyo,Fina Petroleos de Angola,Soyo - Angola,www.otal.com/angola,12.32037691000,-6.12138888900,"0","0","-1","1","0","0","1","0","0","0","0",10.000,Soyo,city,"-1",soyo,"10",-6.121389,12.320377,,,,"0","-1",,"7"
"12","17",AGO,AO,LAD,Luanda,Luanda,1--45---,Porto de Luanda,Administracao do Porto de Luanda,Largo 4 de Fevereiro - Luanda 1229 - Angola,www.otal.com/angola,13.25088339000,-8.78388888900,"0","0","-1","1","0","0","1","1","0","0","0",50.000,Luanda,city,"1",luanda,"11",-8.800000,13.250000,,,,"0","1098",Luanda,"4"
"13","21",ALB,AL,DRZ,Durrës,Durres,1-------,Port of Durres,Durres Port Authority,Kapitenerija e Portit - L Nr 1 Rruga Tregtare - Durres - Albania,,19.45300353000,41.30777778000,"0","0","-1","1","0","0","0","0","0","0","0",10.000,Durres,city,"1",durrës,"12",41.310000,19.450000,,,,"0","975",Durres,"7"
"14","22",ALB,AL,SAR,Sarandë,Sarande,1-------,Port of Sarande,Sarande Port Authority,Port Office - Sarande Port - Sarande - Albania,,20.00353357000,39.87194444000,"0","0","-1","1","0","0","0","0","0","0","0",0.500,Sarande,city,"-1",sarandë,"13",39.871944,20.003534,,,,"0","-1",,"11"
"15","23",ALB,AL,SHG,Shëngjin,Shengjin,1-------,Port of Shengjin,Shengjin Port Authority,Shengjin - Albania,,19.58651355000,41.80944444000,"0","0","-1","1","0","0","0","0","0","0","0",0.500,Shengjin,city,"-1",shëngjin,"14",41.809444,19.586514,,,,"0","-1",,"11"
"16","26",ANT,AN,BUB,Bullenbaai,Bullenbaai,1-------,Bullen Bay,Curacao Ports Authority,Werf de Wilde z/n -  P.O. Box 689 -  Curacao - Netherlands Antilles,www.curports.com,-69.02108363000,12.18777778000,"0","0","-1","1","0","0","0","0","0","0","0",0.500,Bullenbaai,city,"-1",bullenbaai,"15",12.187778,-69.021084,,,,"0","-1",,"11"
"17","27",ANT,AN,CRB,"Caracas Baai, Curaçao","Caracas Baai, Curacao",1-------,Caracas Bay,Curacao Ports Authority,Werf de Wilde z/n - P.O. Box 689 - Curacao - Netherlands Antilles,www.curports.com,-68.85918728000,12.07833333000,"0","0","-1","1","0","0","0","0","0","0","0",2.000,"Caracas Baai, Curacao",city,"1","caracas baai, curaçao","16",12.060000,-68.860000,,,,"0","320",Caracasbaai,"9"
"18","28",ANT,AN,KRA,"Kralendijk, Bonaire","Kralendijk, Bonaire",1---5---,Port of Kralendijk,Bonaire Port Authority,"Harbour Office - Kralendijk, Bonaire - Netherlands Antilles",,-68.27355713000,12.14833333000,"1","8","1","1","0","0","0","1","0","0","0",50.000,"Kralendijk, Bonaire",city,"1","kralendijk, bonaire","17",12.150000,-68.280000,,,,"0","318",Kralendijk,"4"
"19","29",ANT,AN,PHI,Philipsburg,Philipsburg,1-3-----,Port of Philipspburg,"0","Philipspburg, Saint Maarten - Netherlands Antilles",,-63.04375736000,18.01444444000,"1","63","1","1","0","1","0","0","0","0","0",50.000,Philipsburg,city,"1",philipsburg,"18",18.010000,-63.050000,,,,"0","302",Phillipsburg,"4"
"20","30",ANT,AN,CUR,Curaçao,Curacao,1--4----,Port of Willemstad,Curacao Ports Authority,Werf de Wilde z/n - P.O. Box 689 - Curacao - Netherlands Antilles,www.curports.com,-68.91825677000,12.11916667000,"0","0","-1","1","0","0","1","0","0","0","0",10.000,Curacao,city,"-1",curaçao,"19",12.119167,-68.918257,,,,"0","-1",,"7"
